Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="09:12:05.962.613.460 005.312ms",="Tx",="11 00 2A 2A 00 2A 10 FF ",="..* * .* ..",="",="",=""
="09:12:05.962.699.840 086.380us",="Tx",="00 00 00 4D 02 FF 00 00 ",="...M....",="",="",=""
="09:12:05.962.786.220 086.380us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:05.962.872.580 086.360us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:05.962.958.960 086.380us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:05.963.045.340 086.380us",="Tx",="00 00 00 19 18 FA 4B ",="......K",="",="",=""
="09:12:06.992.684.120 005.234ms",="Tx",="11 00 2A 2C 00 2C 10 FF ","..* ,.,..",="",="",=""
="09:12:06.992.770.500 086.380us",="Tx",="00 00 00 4E 02 FF 00 00 ",="...N....",="",="",=""
="09:12:06.992.856.860 086.360us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:06.992.943.220 086.360us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:06.993.029.560 086.340us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:06.993.115.940 086.380us",="Tx",="00 00 00 19 18 BF 37 ",="......7",="",="",=""
="09:12:08.022.837.060 005.098ms",="Tx",="11 00 2A 2E 00 2E 10 FF ",="..* .....",="",="",=""
="09:12:08.022.923.400 086.340us",="Tx",="00 00 00 4F 02 FF 00 00 ",="...O....",="",="",=""
="09:12:08.023.009.720 086.320us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:08.023.096.060 086.340us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:08.023.182.380 086.320us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:08.023.268.740 086.360us",="Tx",="00 00 00 19 18 73 FC ",=".....s.",="",="",=""
="09:12:09.052.841.300 005.089ms",="Tx",="11 00 2A 30 00 30 10 FF ",="..* 0.0..",="",="",=""
="09:12:09.052.927.600 086.300us",="Tx",="00 00 00 50 02 FF 00 00 ",="...P....",="",="",=""
="09:12:09.053.013.920 086.320us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:09.053.100.240 086.320us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:09.053.186.580 086.340us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:09.053.272.900 086.320us",="Tx",="00 00 00 19 18 60 28 ",=".....`(",="",="",=""
="09:12:10.082.843.160 005.052ms",="Tx",="11 00 2A 32 00 32 10 FF ",="..* 2.2..",="",="",=""
="09:12:10.082.929.480 086.320us",="Tx",="00 00 00 51 02 FF 00 00 ",="...Q....",="",="",=""
="09:12:10.083.015.820 086.340us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:10.083.102.160 086.340us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:10.083.188.500 086.340us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
