Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="23:22:01.462.233.180 004.029ms",="Tx",="11 00 2A 01 00 01 FF FF ",="..* .....",="",="",=""
="23:22:01.462.319.120 085.940us",="Tx",="00 00 00 01 01 FF 00 00 ",="........",="",="",=""
="23:22:01.462.405.040 085.920us",="Tx",="EA 60 00 00 00 00 00 00 ",=".`......",="",="",=""
="23:22:01.462.490.960 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:22:01.462.576.940 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:22:01.462.663.060 086.120us",="Tx",="00 00 00 17 16 8A 8E ",=".......",="",="",=""
="23:22:31.887.251.160 006.194ms",="Tx",="11 00 2A 02 00 02 11 FF ",="..* .....",="",="",=""
="23:22:31.887.337.120 085.960us",="Tx",="00 00 00 02 01 FF 00 00 ",="........",="",="",=""
="23:22:31.887.423.060 085.940us",="Tx",="EA 60 00 00 00 00 00 00 ",=".`......",="",="",=""
="23:22:31.887.508.960 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:22:31.887.594.860 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:22:31.887.680.880 086.020us",="Tx",="00 00 00 17 16 6D EB ",=".....m.",="",="",=""
="23:23:02.312.200.100 005.799ms",="Tx",="11 00 2A 03 00 03 11 FF ",="..* .....",="",="",=""
="23:23:02.312.286.060 085.960us",="Tx",="00 00 00 03 01 FF 00 00 ",="........",="",="",=""
="23:23:02.312.371.980 085.920us",="Tx",="EA 60 00 00 00 01 00 00 ",=".`......",="",="",=""
="23:23:02.312.457.860 085.880us",="Tx",="00 00 FF FF FF 27 B2 73 ",=".....''.s",="",="",=""
="23:23:02.312.543.760 085.900us (Feb-03-2024)",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:23:02.312.629.800 086.040us",="Tx",="00 01 00 17 16 6D 24 ",=".....m$",="",="",=""
="23:23:32.742.166.020 006.510ms",="Tx",="11 00 2A 04 00 04 11 FF ",="..* .....",="",="",=""
="23:23:32.742.251.980 085.960us",="Tx",="00 00 00 04 01 FF 00 00 ",="........",="",="",=""
="23:23:32.742.337.880 085.900us",="Tx",="EA 60 00 00 00 01 00 00 ",=".`......",="",="",=""
="23:23:32.742.423.760 085.880us",="Tx",="00 00 FF FF FF 27 B2 73 ",=".....''.s",="",="",=""
="23:23:32.742.509.660 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:23:32.742.595.680 086.020us",="Tx",="00 01 00 17 16 50 F9 ",=".....P.",="",="",=""
="23:24:03.168.420.640 004.891ms",="Tx",="11 00 2A 05 00 05 11 FF ",="..* .....",="",="",=""
="23:24:03.168.506.580 085.940us",="Tx",="00 00 00 05 01 FF 00 00 ",="........",="",="",=""
="23:24:03.168.592.500 085.920us",="Tx",="EA 60 00 00 00 02 00 00 ",=".`......",="",="",=""
="23:24:03.168.678.400 085.900us",="Tx",="00 00 27 8D 53 27 B2 9F ",="..''.S''..",="",="",=""
="23:24:03.168.764.380 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:24:03.168.850.380 086.000us",="Tx",="00 00 00 17 16 CB 6A ",="......j",="",="",=""
="23:24:33.598.011.820 004.606ms",="Tx",="11 00 2A 06 00 06 11 FF ",="..* .....",="",="",=""
="23:24:33.598.097.780 085.960us",="Tx",="00 00 00 06 01 FF 00 00 ",="........",="",="",=""
="23:24:33.598.183.720 085.940us",="Tx",="EA 60 00 00 00 02 00 00 ",=".`......",="",="",=""
="23:24:33.598.269.700 085.980us (Feb-03-2024)",="Tx",="00 00 27 8D 53 27 B2 9F ",="..''.S''..",="",="",=""
="23:24:33.598.355.700 086.000us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:24:33.598.441.760 086.060us",="Tx",="00 00 00 17 16 07 BD ",=".......",="",="",=""
="23:25:04.026.283.520 004.028ms",="Tx",="11 00 2A 07 00 07 11 FF ",="..* .....",="",="",=""
="23:25:04.026.369.440 085.920us",="Tx",="00 00 00 07 01 FF 00 00 ",="........",="",="",=""
="23:25:04.026.455.320 085.880us",="Tx",="EA 60 00 00 00 03 00 00 ",=".`......",="",="",=""
="23:25:04.026.541.180 085.860us",="Tx",="00 00 27 8D 6E 27 B2 AF ",="..''.n''..",="",="",=""
="23:25:04.026.627.040 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:25:04.026.713.040 086.000us",="Tx",="00 00 00 17 16 29 AD ",=".....).",="",="",=""
="23:25:34.455.067.020 005.187ms",="Tx",="11 00 2A 08 00 08 11 FF ",="..* .....",="",="",=""
="23:25:34.455.153.000 085.980us",="Tx",="00 00 00 08 01 FF 00 00 ",="........",="",="",=""
="23:25:34.455.238.880 085.880us",="Tx",="EA 60 00 00 00 03 00 00 ",=".`......",="",="",=""
="23:25:34.455.324.760 085.880us",="Tx",="00 00 27 8D 6E 27 B2 AF ",="..''.n''..",="",="",=""
="23:25:34.455.410.660 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:25:34.455.496.680 086.020us",="Tx",="00 00 00 17 16 E6 45 ",="......E",="",="",=""
="23:26:04.884.575.220 004.029ms",="Tx",="11 00 2A 09 00 09 11 FF ",="..* .....",="",="",=""
="23:26:04.884.661.160 085.940us",="Tx",="00 00 00 09 01 FF 00 00 ",="........",="",="",=""
="23:26:04.884.747.060 085.900us (Feb-03-2024)",="Tx",="EA 60 00 00 00 04 00 00 ",=".`......",="",="",=""
="23:26:04.884.832.920 085.860us",="Tx",="00 00 27 8D 25 27 B2 9F ",="..''.%''..",="",="",=""
="23:26:04.884.918.820 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:26:04.885.004.840 086.020us",="Tx",="00 00 00 17 16 42 14 ",=".....B.",="",="",=""
="23:26:35.316.099.260 004.030ms",="Tx",="11 00 2A 0A 00 0A 11 FF ",="..* .....",="",="",=""
="23:26:35.316.185.240 085.980us",="Tx",="00 00 00 0A 01 FF 00 00 ",="........",="",="",=""
="23:26:35.316.271.180 085.940us",="Tx",="EA 60 00 00 00 04 00 00 ",=".`......",="",="",=""
="23:26:35.316.357.060 085.880us",="Tx",="00 00 27 8D 25 27 B2 9F ",="..''.%''..",="",="",=""
="23:26:35.316.442.980 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:26:35.316.529.020 086.040us",="Tx",="00 00 00 17 16 8E C3 ",=".......",="",="",=""
="23:27:05.746.654.620 004.847ms",="Tx",="11 00 2A 0B 00 0B 11 FF ",="..* .....",="",="",=""
