Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="11:12:26.766.346.920 0 (Feb-19-2024)",="Tx",="11 00 2A 35 02 37 10 81 ",="..* 5.7..",="",="",=""
="11:12:26.766.432.860 085.940us",="Tx",="10 16 27 FA 21 FF 00 00 ",="..''.!...",="",="",=""
="11:12:26.766.518.780 085.920us",="Tx",="EA 60 FF BC AE E0 00 03 ",=".`......",="",="",=""
="11:12:26.766.604.660 085.880us",="Tx",="B2 CC 27 89 B7 27 AF 1F ",="..''..''..",="",="",=""
="11:12:26.766.690.540 085.880us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:12:26.766.776.540 086.000us",="Tx",="00 00 8A 18 17 D8 63 ",="......c",="",="",=""
="11:12:57.216.139.820 030.449s",="Tx",="11 00 2A 54 02 56 10 81 ",="..* T.V..",="",="",=""
="11:12:57.216.225.780 085.960us",="Tx",="10 16 27 FB 21 FF 00 00 ",="..''.!...",="",="",=""
="11:12:57.216.311.720 085.940us",="Tx",="EA 60 FF BC AE E1 00 00 ",=".`......",="",="",=""
="11:12:57.216.397.620 085.900us",="Tx",="00 1C 27 89 9E 27 AE F5 ",="..''..''..",="",="",=""
="11:12:57.216.483.540 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:12:57.216.569.580 086.040us",="Tx",="00 00 8A 18 17 44 AC ",=".....D.",="",="",=""
="11:13:27.667.202.900 030.450s",="Tx",="11 00 2A 73 08 7B 10 00 ",="..* s.{..",="",="",=""
="11:13:27.667.288.860 085.960us",="Tx",="10 16 27 FC 21 FF 00 00 ",="..''.!...",="",="",=""
="11:13:27.667.374.820 085.960us",="Tx",="EA 60 FF BC AE E1 00 00 ",=".`......",="",="",=""
="11:13:27.667.460.740 085.920us",="Tx",="00 1C 27 89 9E 27 AE F5 ",="..''..''..",="",="",=""
="11:13:27.667.546.680 085.940us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:13:27.667.632.720 086.040us",="Tx",="00 00 8A 18 17 EE 10 ",=".......",="",="",=""
="11:13:58.118.168.340 030.450s",="Tx",="11 00 2A 92 08 9A 10 00 ",="..* .....",="",="",=""
="11:13:58.118.254.300 085.960us",="Tx",="10 16 27 FD 21 FF 00 00 ",="..''.!...",="",="",=""
