Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="23:45:17.882.161.940 0 (Mar-27-2024)",="Tx",="11 00 2A 86 00 86 10 AA ",="..* .....",="",="",=""
="23:45:17.882.248.020 086.080us",="Tx",="10 16 0B C6 11 FF 00 00 ",="........",="",="",=""
="23:45:17.882.333.920 085.900us",="Tx",="EA 60 00 00 05 58 00 01 ",=".`...X..",="",="",=""
="23:45:17.882.419.880 085.960us (Mar-27-2024)",="Tx",="61 41 27 8C A1 27 B1 A0 ",="aA''..''..",="",="",=""
="23:45:17.882.505.820 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:45:17.882.591.940 086.120us",="Tx",="00 00 3C 18 17 EA 73 ",="..<...s",="",="",=""
="23:45:47.330.967.760 029.448s",="Tx",="11 00 2A A4 00 A4 10 AA ",="..* .....",="",="",=""
="23:45:47.331.053.840 086.080us",="Tx",="10 16 0B C7 11 FF 00 00 ",="........",="",="",=""
="23:45:47.331.139.760 085.920us",="Tx",="EA 60 00 00 05 59 00 01 ",=".`...Y..",="",="",=""
="23:45:47.331.225.680 085.920us",="Tx",="61 6A 27 8C A8 27 B1 99 ",="aj''..''..",="",="",=""
="23:45:47.331.311.620 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:45:47.331.397.740 086.120us",="Tx",="00 00 3C 18 17 26 F4 ",="..<..&.",="",="",=""
="23:46:16.785.734.820 029.454s",="Tx",="11 00 2A C2 00 C2 10 AA ",="..* .....",="",="",=""
="23:46:16.785.820.880 086.060us",="Tx",="10 16 0B C8 11 FF 00 00 ",="........",="",="",=""
="23:46:16.785.906.800 085.920us",="Tx",="EA 60 00 00 05 59 00 01 ",=".`...Y..",="",="",=""
="23:46:16.785.992.740 085.940us",="Tx",="61 6A 27 8C A8 27 B1 99 ",="aj''..''..",="",="",=""
="23:46:16.786.078.700 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:46:16.786.164.800 086.100us",="Tx",="00 00 3C 18 17 70 3D ",="..<..p=",="",="",=""
="23:46:46.240.432.420 029.454s",="Tx",="11 00 2A E0 00 E0 10 AA ",="..* .....",="",="",=""
="23:46:46.240.518.520 086.100us",="Tx",="10 16 0B C9 11 FF 00 00 ",="........",="",="",=""
="23:46:46.240.604.420 085.900us",="Tx",="EA 60 00 00 05 5A 00 01 ",=".`...Z..",="",="",=""
="23:46:46.240.690.360 085.940us",="Tx",="61 A5 27 8C 6E 27 B1 A4 ",="a.''.n''..",="",="",=""
="23:46:46.240.776.380 086.020us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:46:46.240.862.500 086.120us (Mar-27-2024)",="Tx",="00 00 3C 18 17 85 57 ",="..<...W",="",="",=""
="23:47:15.699.663.480 029.458s",="Tx",="11 00 2A FE 00 FE 10 AA ",="..* .....",="",="",=""
="23:47:15.699.749.620 086.140us",="Tx",="10 16 0B CA 11 FF 00 00 ",="........",="",="",=""
="23:47:15.699.835.540 085.920us",="Tx",="EA 60 00 00 05 5A 00 01 ",=".`...Z..",="",="",=""
="23:47:15.699.921.500 085.960us",="Tx",="61 A5 27 8C 6E 27 B1 A4 ",="a.''.n''..",="",="",=""
="23:47:15.700.007.440 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:47:15.700.093.580 086.140us",="Tx",="00 00 3C 18 17 34 80 ",="..<..4.",="",="",=""
="23:47:45.156.598.200 029.456s",="Tx",="11 00 2A 1C 00 1C 10 AA ",="..* .....",="",="",=""
="23:47:45.156.684.320 086.120us",="Tx",="10 16 0B CB 11 FF 00 00 ",="........",="",="",=""
="23:47:45.156.770.280 085.960us",="Tx",="EA 60 00 00 05 5B 00 01 ",=".`...[..",="",="",=""
="23:47:45.156.856.240 085.960us",="Tx",="61 E1 27 8C 77 27 B1 89 ",="a.''.w''..",="",="",=""
="23:47:45.156.942.240 086.000us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:47:45.157.028.380 086.140us",="Tx",="00 00 3C 18 17 56 80 ",="..<..V.",="",="",=""
="23:48:14.608.601.280 029.451s",="Tx",="11 00 2A 3A 00 3A 10 AA ",="..* :.:..",="",="",=""
