Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="17:31:36.606.959.960 004.895ms",="Tx",="11 00 2A 02 00 02 10 87 ",="..* .....",="",="",=""
="17:31:36.607.045.860 085.900us",="Tx",="18 99 97 7D B6 FF 00 00 ",="...}....",="",="",=""
="17:31:36.607.131.760 085.900us",="Tx",="EA 60 00 07 C7 98 00 00 ",=".`......",="",="",=""
="17:31:36.607.217.600 085.840us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:31:36.607.303.460 085.860us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="17:31:36.607.389.400 085.940us",="Tx",="00 00 30 15 15 0B 28 ",="..0...(",="",="",=""
="17:32:06.328.955.340 004.015ms",="Tx",="11 00 2A 21 00 21 10 87 ",="..* !.!..",="",="",=""
="17:32:06.329.041.240 085.900us",="Tx",="18 99 97 7E B6 FF 00 00 ",="...~....",="",="",=""
="17:32:06.329.127.140 085.900us",="Tx",="EA 60 00 07 C7 98 00 00 ",=".`......",="",="",=""
="17:32:06.329.213.000 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:32:06.329.298.880 085.880us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="17:32:06.329.384.840 085.960us",="Tx",="00 00 30 15 15 99 BA ",="..0....",="",="",=""
="17:32:36.056.046.060 005.883ms",="Tx",="11 00 2A 40 00 40 10 87 ",="..* @.@..",="",="",=""
="17:32:36.056.132.020 085.960us",="Tx",="18 99 97 7F B6 FF 00 00 ",="........",="",="",=""
="17:32:36.056.217.960 085.940us (Apr-10-2024)",="Tx",="EA 60 00 07 C7 99 00 00 ",=".`......",="",="",=""
="17:32:36.056.303.860 085.900us",="Tx",="00 34 FF FF FF 27 B4 86 ",=".4...''..",="",="",=""
="17:32:36.056.389.760 085.900us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="17:32:36.056.475.860 086.100us",="Tx",="00 01 30 15 15 67 D5 ",="..0..g.",="",="",=""
="17:33:05.786.241.100 004.021ms",="Tx",="11 00 2A 5F 00 5F 10 87 ",="..* _._..",="",="",=""
="17:33:05.786.327.000 085.900us",="Tx",="18 99 97 80 B6 FF 00 00 ",="........",="",="",=""
="17:33:05.786.412.920 085.920us",="Tx",="EA 60 00 07 C7 99 00 00 ",=".`......",="",="",=""
="17:33:05.786.498.820 085.900us",="Tx",="00 34 FF FF FF 27 B4 86 ",=".4...''..",="",="",=""
="17:33:05.786.584.740 085.920us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="17:33:05.786.670.700 085.960us",="Tx",="00 01 30 16 15 49 98 ",="..0..I.",="",="",=""
="17:33:35.516.785.280 004.149ms",="Tx",="11 00 2A 7E 00 7E 10 87 ",="..* ~.~..",="",="",=""
="17:33:35.516.871.220 085.940us",="Tx",="18 99 97 81 B6 FF 00 00 ",="........",="",="",=""
="17:33:35.516.957.200 085.980us",="Tx",="EA 60 00 07 C7 9A 00 00 ",=".`......",="",="",=""
="17:33:35.517.043.120 085.920us",="Tx",="00 6F 27 8F 2B 27 B4 38 ",=".o''.+''.8",="",="",=""
="17:33:35.517.129.040 085.920us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="17:33:35.517.215.020 085.980us",="Tx",="00 00 30 16 15 8F C2 ",="..0....",="",="",=""
="17:34:05.250.533.320 004.547ms",="Tx",="11 00 2A 9D 00 9D 10 87 ",="..* .....",="",="",=""
="17:34:05.250.619.260 085.940us (Apr-10-2024)",="Tx",="18 99 97 82 B6 FF 00 00 ",="........",="",="",=""
="17:34:05.250.705.280 086.020us",="Tx",="EA 60 00 07 C7 9A 00 00 ",=".`......",="",="",=""
="17:34:05.250.791.220 085.940us",="Tx",="00 6F 27 8F 2B 27 B4 38 ",=".o''.+''.8",="",="",=""
="17:34:05.250.877.140 085.920us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="17:34:05.250.963.260 086.120us",="Tx",="00 00 30 16 15 C8 EF ",="..0....",="",="",=""
="17:34:34.988.289.020 004.814ms",="Tx",="11 00 2A BC 00 BC 10 87 ",="..* .....",="",="",=""
="17:34:34.988.374.980 085.960us",="Tx",="18 99 97 83 B6 FF 00 00 ",="........",="",="",=""
="17:34:34.988.460.940 085.960us",="Tx",="EA 60 00 07 C7 9B 00 00 ",=".`......",="",="",=""
="17:34:34.988.546.880 085.940us",="Tx",="00 A9 27 8E EA 27 B3 F9 ",="..''..''..",="",="",=""
="17:34:34.988.632.800 085.920us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="17:34:34.988.718.880 086.080us",="Tx",="00 00 30 16 16 58 4C ",="..0..XL",="",="",=""
="17:35:04.727.240.480 005.129ms",="Tx",="11 00 2A DB 00 DB 10 87 ",="..* .....",="",="",=""
="17:35:04.727.326.420 085.940us",="Tx",="18 99 97 84 B6 FF 00 00 ",="........",="",="",=""
