Times,Time,CMD accept cnt.,last accept CMD,last error CMD,_hk_number_,reboot_cnt,mode_status,_sample_rate_,_sci_write_num_,_sci_time_,R1,R2,_seu_count_,_sci_read_num_,CMD err cnt.,RADFET err cnt.,WDT err cnt,SOM Tmp.,RADFET Tmp.
1,"=""23:13:32.961.969.740 085.860us""",4,10,FF,2,1,FF,60000,0,00 00,0.0,0.0,0,00 00 00 00,0,0,0,19,19
2,"=""23:13:48.176.999.540 085.920us""",6,10,FF,3,1,FF,60000,0,00 00,0.0,0.0,0,00 00 00 00,0,0,0,19,19
3,"=""23:14:03.392.146.700 085.980us""",8,10,FF,4,1,FF,60000,0,00 00,0.0,0.0,0,00 00 00 00,0,0,0,19,19
4,"=""23:14:18.601.527.940 085.920us""",10,10,FF,5,1,FF,60000,1,00 03,10.000000596046519,1.3827599743318526,0,00 00 00 00,0,1,0,19,19
5,"=""23:14:33.816.071.940 085.920us""",12,10,FF,6,1,FF,60000,1,00 03,10.000000596046519,1.3827599743318526,0,00 00 00 00,0,1,0,19,19
6,"=""23:14:49.029.431.300 085.980us""",14,10,FF,7,1,FF,60000,1,00 03,10.000000596046519,1.3827599743318526,0,00 00 00 00,0,1,0,19,19
7,"=""23:15:04.244.397.500 085.960us""",16,10,FF,8,1,FF,60000,1,00 03,10.000000596046519,1.3827599743318526,0,00 00 00 00,0,1,0,19,19
8,"=""23:15:19.462.652.460 085.940us""",18,10,FF,9,1,FF,60000,2,00 07,1.436067394741463,1.3827331522385062,0,00 00 00 00,0,0,0,20,19
9,"=""23:15:34.677.816.180 085.940us""",20,10,FF,10,1,FF,60000,2,00 07,1.436067394741463,1.3827331522385062,0,00 00 00 00,0,0,0,20,19
10,"=""23:15:49.890.702.320 085.940us (Dec-22-2023)""",22,10,FF,11,1,FF,60000,2,00 07,1.436067394741463,1.3827331522385062,0,00 00 00 00,0,0,0,20,19
11,"=""23:16:05.103.410.560 086.020us""",24,10,FF,12,1,FF,60000,3,00 0A,1.4360477252063424,1.3827695110761535,0,00 00 00 00,0,0,0,20,19
