Times,Time,CMD accept cnt.,last accept CMD,last error CMD,_hk_number_,reboot_cnt,mode_status,_sample_rate_,_sci_write_num_,_sci_time_,R1,R2,_seu_count_,_sci_read_num_,CMD err cnt.,RADFET err cnt.,WDT err cnt,SOM Tmp.,RADFET Tmp.
1,"=""00:21:15.766.766.360 086.220us""",70,10,7F,471476814,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
2,"=""00:21:17.815.166.540 086.200us""",72,10,7F,471476815,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
3,"=""00:21:19.863.826.380 086.020us""",74,10,7F,471476816,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
4,"=""00:21:21.912.317.040 086.240us""",76,10,7F,471476817,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
5,"=""00:21:23.960.616.860 086.240us""",78,10,7F,471476818,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
6,"=""00:21:26.009.110.880 086.040us""",80,10,7F,471476819,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
7,"=""00:21:28.057.297.200 086.200us""",82,10,7F,471476820,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
8,"=""00:21:30.105.458.140 086.220us""",84,10,7F,471476821,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
9,"=""00:21:32.153.759.720 086.200us""",86,10,7F,471476822,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
10,"=""00:21:34.202.170.380 086.200us""",88,10,7F,471476823,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
11,"=""00:21:36.250.470.360 086.200us""",90,10,7F,471476824,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
12,"=""00:21:38.299.024.800 086.180us""",92,10,7F,471476825,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
13,"=""00:21:40.347.591.040 086.220us""",94,10,7F,471476826,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
14,"=""00:21:42.395.844.680 086.060us""",96,10,7F,471476827,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
15,"=""00:21:44.444.200.400 086.060us""",98,10,7F,471476828,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
16,"=""00:21:46.492.491.760 086.080us""",100,10,7F,471476829,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
17,"=""00:21:48.540.973.820 086.240us""",102,10,7F,471476830,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
18,"=""00:21:50.589.358.560 086.240us""",104,10,7F,471476831,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
19,"=""00:21:52.637.810.700 086.140us""",106,10,7F,471476832,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
20,"=""00:21:54.686.253.700 086.180us""",108,10,7F,471476833,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
21,"=""00:21:56.734.734.520 086.080us""",110,10,7F,471476834,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
22,"=""00:21:58.783.255.080 086.220us""",112,10,7F,471476835,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
23,"=""00:22:00.831.551.960 086.200us""",114,10,7F,471476836,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
24,"=""00:22:02.879.459.400 086.240us""",116,10,7F,471476837,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
25,"=""00:22:04.927.793.260 086.220us""",118,10,7F,471476838,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
26,"=""00:22:06.975.878.760 086.200us""",120,10,7F,471476839,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
27,"=""00:22:09.024.374.560 086.180us""",122,10,7F,471476840,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
28,"=""00:22:11.072.552.100 086.220us""",124,10,7F,471476841,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
29,"=""00:22:13.120.658.080 086.200us""",126,10,7F,471476842,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
30,"=""00:22:15.168.843.220 086.240us""",128,10,7F,471476843,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
31,"=""00:22:17.216.760.720 086.020us""",130,10,7F,471476844,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
32,"=""00:22:19.264.437.580 086.180us""",132,10,7F,471476845,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
33,"=""00:22:21.312.424.700 086.240us""",134,10,7F,471476846,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
34,"=""00:22:23.360.048.740 086.180us""",136,10,7F,471476847,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
35,"=""00:22:25.407.345.740 086.100us""",138,10,7F,471476848,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
36,"=""00:22:27.454.574.740 086.220us""",140,10,7F,471476849,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
37,"=""00:22:29.502.026.660 086.220us""",142,10,7F,471476850,33,FF,60000,0,00 00,10.000000596046519,1.5497239291338836,0,00 00 00 64,0,1,45,27,26
