Times,Time,CMD accept cnt.,last accept CMD,last error CMD,_hk_number_,reboot_cnt,mode_status,_sample_rate_,_sci_write_num_,_sci_time_,R1,R2,_seu_count_,_sci_read_num_,CMD err cnt.,RADFET err cnt.,WDT err cnt,SOM Tmp.,RADFET Tmp.
1,"=""13:36:49.812.691.880 086.100us""",2,11,FF,2,1,FF,60000,1,00 00,10.000000596046519,1.5501775205346966,0,00 00 00 00,0,1,0,26,24
2,"=""13:37:50.669.217.680 086.140us""",3,11,FF,3,1,FF,60000,2,00 00,1.5444685869775518,1.5502001703024113,0,00 00 00 00,0,0,0,26,24
3,"=""13:38:51.530.241.820 086.120us""",4,11,FF,4,1,FF,60000,3,00 00,1.5444966011639358,1.5502114951862687,0,00 00 00 00,0,0,0,25,24
4,"=""13:39:52.392.652.220 086.080us""",5,11,FF,5,1,FF,60000,4,00 00,1.544511502326906,1.5502454698378407,0,00 00 00 00,0,0,0,25,24
5,"=""13:40:53.251.139.460 086.120us""",6,11,FF,6,1,FF,60000,5,00 00,1.544508522094312,1.5502234161166448,0,00 00 00 00,0,0,0,25,24
6,"=""13:41:54.113.978.360 086.160us""",7,11,FF,7,1,FF,60000,6,00 00,1.5444763355822964,1.5502222240236072,0,00 00 00 00,0,0,0,25,24
7,"=""13:42:54.967.735.220 086.120us""",8,11,FF,8,1,FF,60000,7,00 00,1.5445162706990565,1.550241297512209,0,00 00 00 00,0,0,0,25,24
8,"=""13:43:55.826.611.100 086.140us""",9,11,FF,9,1,FF,60000,8,00 00,1.5445430927924029,1.550238317279615,0,00 00 00 00,0,0,0,25,24
9,"=""13:44:56.684.443.960 086.140us""",10,11,FF,10,1,FF,60000,9,00 00,1.5445174627920941,1.5502561986751793,0,00 00 00 00,0,0,0,25,24
10,"=""13:45:57.546.864.960 086.040us""",11,11,FF,11,1,FF,60000,10,00 00,1.5445216351177258,1.5502234161166448,0,00 00 00 00,0,0,0,25,24
11,"=""13:46:58.408.731.840 086.060us""",12,11,FF,12,1,FF,60000,11,00 00,1.5445252113968386,1.5502240121631636,0,00 00 00 00,0,0,0,25,24
12,"=""13:47:59.269.550.000 086.060us""",13,11,FF,13,1,FF,60000,12,00 00,1.5445192509316505,1.5502407014656903,0,00 00 00 00,0,0,0,25,24
13,"=""13:49:00.132.954.460 086.020us""",14,11,FF,14,1,FF,60000,14,00 00,1.5445353441876584,1.5502359330935398,0,00 00 00 00,0,0,0,25,24
14,"=""13:50:00.990.023.340 086.040us""",15,11,FF,15,1,FF,60000,15,00 00,1.5445341520946207,1.550235337047021,0,00 00 00 00,0,0,0,25,24
15,"=""13:51:01.847.941.380 086.080us""",16,11,FF,16,1,FF,60000,16,00 00,1.5445043497686803,1.5502252042562013,0,00 00 00 00,0,0,0,25,24
16,"=""13:52:02.704.395.980 086.100us""",17,11,FF,17,1,FF,60000,17,00 00,1.5445430927924029,1.5502234161166448,0,00 00 00 00,0,0,0,25,24
17,"=""13:53:03.569.594.260 086.120us""",18,11,FF,18,1,FF,60000,18,00 00,1.544511502326906,1.5502335489074646,0,00 00 00 00,0,0,0,25,24
18,"=""13:54:04.433.985.500 086.040us""",19,11,FF,19,1,FF,60000,19,00 00,1.544526999536395,1.550210303093231,0,00 00 00 00,0,0,0,25,24
19,"=""13:55:05.304.819.380 086.080us (Feb-01-2024)""",20,11,FF,20,1,FF,60000,20,00 00,1.5445353441876584,1.5502395093726526,0,00 00 00 00,0,0,0,25,24
20,"=""13:56:06.190.450.940 086.100us""",21,11,FF,21,1,FF,60000,21,00 00,1.5445287876759515,1.550266331465999,0,00 00 00 00,0,0,0,25,24
21,"=""13:57:07.065.410.240 086.060us""",22,11,FF,22,1,FF,60000,22,00 00,1.5445317679085455,1.5502514303030288,0,00 00 00 00,0,0,0,25,24
22,"=""13:58:07.945.106.840 086.060us""",23,11,FF,23,1,FF,60000,23,00 00,1.5445383244202524,1.5502430856517655,0,00 00 00 00,0,0,0,25,24
23,"=""13:59:08.807.505.560 086.020us""",24,11,FF,24,1,FF,60000,24,00 00,1.5445281916294327,1.5502502382099912,0,00 00 00 00,0,0,0,25,24
24,"=""14:00:09.667.292.940 086.040us""",25,11,FF,25,1,FF,60000,25,00 00,1.5445001774430487,1.5502484500704348,0,00 00 00 00,0,0,0,25,24
25,"=""14:01:10.524.103.460 086.060us""",26,11,FF,26,1,FF,60000,26,00 00,1.5445204430246882,1.5502716958846683,0,00 00 00 00,0,0,0,25,24
26,"=""14:02:11.385.895.720 086.080us""",27,11,FF,27,1,FF,60000,27,00 00,1.544511502326906,1.5502758682103,0,00 00 00 00,0,0,0,25,24
27,"=""14:03:12.249.649.380 086.040us""",28,11,FF,28,1,FF,60000,28,00 00,1.5445031576756427,1.550272887977706,0,00 00 00 00,0,0,0,25,24
28,"=""14:04:13.107.592.680 086.020us""",29,11,FF,29,1,FF,60000,29,00 00,1.5445132904664625,1.550244873791322,0,00 00 00 00,0,0,0,25,24
29,"=""14:05:13.969.331.480 086.040us""",30,11,FF,30,1,FF,60000,30,00 00,1.5445162706990565,1.5502263963492389,0,00 00 00 00,0,0,0,25,24
30,"=""14:06:14.832.735.280 086.000us""",31,11,FF,31,1,FF,60000,31,00 00,1.5445526295367038,1.5502347410005022,0,00 00 00 00,0,0,0,25,24
31,"=""14:07:15.687.132.120 086.100us""",32,11,FF,32,1,FF,60000,32,00 00,1.5445371323272148,1.5502055347210806,0,00 00 00 00,0,0,0,25,24
32,"=""14:08:16.533.274.540 086.020us""",33,11,FF,33,1,FF,60000,33,00 00,1.5445174627920941,1.550235337047021,0,00 00 00 00,0,0,0,25,24
33,"=""14:09:17.399.407.040 086.040us (Feb-01-2024)""",34,11,FF,34,1,FF,60000,35,00 00,1.5445281916294327,1.5502192437910132,0,00 00 00 00,0,0,0,25,24
34,"=""14:10:18.258.925.300 086.080us""",35,11,FF,35,1,FF,60000,36,00 00,1.544524019303801,1.5502240121631636,0,00 00 00 00,0,0,0,25,24
35,"=""14:11:19.126.172.100 086.060us""",36,11,FF,36,1,FF,60000,37,00 00,1.5445103102338684,1.5502305686748705,0,00 00 00 00,0,0,0,25,24
36,"=""14:12:19.986.660.700 086.100us""",37,11,FF,37,1,FF,60000,38,00 00,1.5445073300012744,1.5502442777448031,0,00 00 00 00,0,0,0,25,24
37,"=""14:13:20.850.331.800 086.060us""",38,11,FF,38,1,FF,60000,39,00 00,1.5445401125598088,1.5502550065821417,0,00 00 00 00,0,0,0,25,24
38,"=""14:14:21.720.331.440 086.060us""",39,11,FF,39,1,FF,60000,40,00 00,1.5445192509316505,1.5502222240236072,0,00 00 00 00,0,0,0,25,24
39,"=""14:15:22.588.698.320 086.040us""",40,11,FF,40,1,FF,60000,41,00 00,1.5445281916294327,1.5502526223960664,0,00 00 00 00,0,0,0,25,24
40,"=""14:16:23.466.469.260 086.040us""",41,11,FF,41,1,FF,60000,42,00 00,1.5445711069787869,1.5502514303030288,0,00 00 00 00,0,0,0,25,24
41,"=""14:17:24.347.238.180 086.000us""",42,11,FF,42,1,FF,60000,43,00 00,1.544536536280696,1.5502675235590366,0,00 00 00 00,0,0,0,25,24
42,"=""14:18:25.222.639.980 086.020us""",43,11,FF,43,1,FF,60000,44,00 00,1.544577067443975,1.5502263963492389,0,00 00 00 00,0,0,0,25,24
43,"=""14:19:26.093.585.960 086.060us""",44,11,FF,44,1,FF,60000,45,00 00,1.5445597820949295,1.550269311698593,0,00 00 00 00,0,0,0,25,24
44,"=""14:20:26.944.623.200 086.040us""",45,11,FF,45,1,FF,60000,46,00 00,1.544586008141757,1.5502669275125178,0,00 00 00 00,0,0,0,25,24
45,"=""14:21:27.813.067.340 086.100us""",46,11,FF,46,1,FF,60000,47,00 00,1.5445669346531552,1.550260371000811,0,00 00 00 00,0,0,0,25,24
46,"=""14:22:28.678.672.740 086.100us""",47,11,FF,47,1,FF,60000,48,00 00,1.5445693188392304,1.5502609670473297,0,00 00 00 00,0,0,0,25,24
47,"=""14:23:29.549.323.320 086.040us""",48,11,FF,48,1,FF,60000,49,00 00,1.5445407086063276,1.5502782523963752,0,00 00 00 00,0,0,0,25,24
48,"=""14:24:30.420.636.200 086.000us""",49,11,FF,49,1,FF,60000,50,00 00,1.5445448809319593,1.5502401054191715,0,00 00 00 00,0,0,0,25,24
49,"=""14:25:31.296.006.020 086.140us""",50,11,FF,50,1,FF,60000,51,00 00,1.5445573979088543,1.5502371251865774,0,00 00 00 00,0,0,0,25,24
50,"=""14:26:32.177.071.440 086.040us""",51,11,FF,51,1,FF,60000,52,00 00,1.5445562058158167,1.5502752721637811,0,00 00 00 00,0,0,0,25,24
51,"=""14:27:33.055.775.100 086.040us""",52,11,FF,52,1,FF,60000,53,00 00,1.5445556097692978,1.5502389133261338,0,00 00 00 00,0,0,0,25,24
52,"=""14:28:33.936.820.220 086.020us""",53,11,FF,53,1,FF,60000,55,00 00,1.5445538216297414,1.5502484500704348,0,00 00 00 00,0,0,0,25,24
53,"=""14:29:34.817.793.200 086.060us (Feb-01-2024)""",54,11,FF,54,1,FF,60000,56,00 00,1.5445508413971474,1.5502895772802325,0,00 00 00 00,0,0,0,25,24
54,"=""14:30:35.698.257.460 086.080us""",55,11,FF,55,1,FF,60000,57,00 00,1.54453951651329,1.550244873791322,0,00 00 00 00,0,0,0,25,24
55,"=""14:31:36.579.101.920 086.060us""",56,11,FF,56,1,FF,60000,58,00 00,1.5445532255832226,1.5502377212330962,0,00 00 00 00,0,0,0,25,24
56,"=""14:32:37.455.165.100 086.060us""",57,11,FF,57,1,FF,60000,59,00 00,1.544536536280696,1.5502520263495476,0,00 00 00 00,0,0,0,25,24
57,"=""14:33:38.323.813.820 086.060us""",58,11,FF,58,1,FF,60000,60,00 00,1.544524019303801,1.5502407014656903,0,00 00 00 00,0,0,0,25,24
58,"=""14:34:39.193.995.860 086.040us""",59,11,FF,59,1,FF,60000,61,00 00,1.544518058838613,1.5502281844887953,0,00 00 00 00,0,0,0,25,24
59,"=""14:35:40.059.937.280 086.060us""",60,11,FF,60,1,FF,60000,62,00 00,1.5445383244202524,1.5502114951862687,0,00 00 00 00,0,0,0,25,24
60,"=""14:36:40.940.474.480 086.060us""",61,11,FF,61,1,FF,60000,63,00 00,1.5445359402341772,1.5502609670473297,0,00 00 00 00,0,0,0,25,24
61,"=""14:37:41.814.245.420 086.040us""",62,11,FF,62,1,FF,60000,64,00 00,1.5445669346531552,1.5502591789077733,0,00 00 00 00,0,0,0,25,24
62,"=""14:38:42.685.811.580 086.060us""",63,11,FF,63,1,FF,60000,65,00 00,1.5445222311642446,1.5502705037916307,0,00 00 00 00,0,0,0,25,24
63,"=""14:39:43.555.025.020 086.040us""",64,11,FF,64,1,FF,60000,66,00 00,1.5445621662810047,1.550281828675488,0,00 00 00 00,0,0,0,25,24
64,"=""14:40:44.423.675.760 086.020us""",65,11,FF,65,1,FF,60000,67,00 00,1.544546073024997,1.550260371000811,0,00 00 00 00,0,0,0,25,24
65,"=""14:41:45.296.431.880 086.020us""",66,11,FF,66,1,FF,60000,68,00 00,1.5445556097692978,1.5502782523963752,0,00 00 00 00,0,0,0,25,24
66,"=""14:42:46.172.721.680 086.060us""",67,11,FF,67,1,FF,60000,69,00 00,1.5445901804673887,1.5502782523963752,0,00 00 00 00,0,0,0,25,24
67,"=""14:43:47.038.526.020 086.040us""",68,11,FF,68,1,FF,60000,70,00 00,1.5445436888389217,1.5502997100710523,0,00 00 00 00,0,0,0,25,24
68,"=""14:44:47.905.464.320 086.080us""",69,11,FF,69,1,FF,60000,71,00 00,1.5445919686069451,1.550278848442894,0,00 00 00 00,0,0,0,25,24
69,"=""14:45:48.769.937.040 086.040us""",70,11,FF,70,1,FF,60000,72,00 00,1.544570510932268,1.550303882396684,0,00 00 00 00,0,0,0,25,24
70,"=""14:46:49.639.732.500 086.020us""",71,11,FF,71,1,FF,60000,73,00 00,1.544592564653464,1.5502860010011197,0,00 00 00 00,0,0,0,25,24
71,"=""14:47:50.505.107.300 086.040us""",72,11,FF,72,1,FF,60000,74,00 00,1.544574087211381,1.550281828675488,0,00 00 00 00,0,0,0,25,24
72,"=""14:48:51.374.546.060 086.060us""",73,11,FF,73,1,FF,60000,76,00 00,1.5445722990718245,1.5502991140245335,0,00 00 00 00,0,0,0,25,24
73,"=""14:49:52.239.689.240 086.060us (Feb-01-2024)""",74,11,FF,74,1,FF,60000,77,00 00,1.5445782595370126,1.5502639472799238,0,00 00 00 00,0,0,0,25,24
74,"=""14:50:53.108.374.960 086.080us""",75,11,FF,75,1,FF,60000,78,00 00,1.544598525118652,1.550291365419789,0,00 00 00 00,0,0,0,25,24
75,"=""14:51:53.980.839.260 086.080us""",76,11,FF,76,1,FF,60000,79,00 00,1.544574087211381,1.5502776563498564,0,00 00 00 00,0,0,0,25,24
76,"=""14:52:54.853.993.160 086.060us""",77,11,FF,77,1,FF,60000,80,00 00,1.544552033490185,1.550287789140676,0,00 00 00 00,0,0,0,25,24
77,"=""14:53:55.728.586.720 086.060us""",78,11,FF,78,1,FF,60000,81,00 00,1.5445621662810047,1.5502740800707435,0,00 00 00 00,0,0,0,25,24
78,"=""14:54:56.596.485.000 086.040us""",79,11,FF,79,1,FF,60000,82,00 00,1.5445693188392304,1.5502615630938485,0,00 00 00 00,0,0,0,25,24
79,"=""14:55:57.464.430.960 086.040us""",80,11,FF,80,1,FF,60000,83,00 00,1.5445585900018919,1.5502311647213893,0,00 00 00 00,0,0,0,25,24
80,"=""14:56:58.332.489.260 086.060us""",81,11,FF,81,1,FF,60000,84,00 00,1.5445508413971474,1.550263351233405,0,00 00 00 00,0,0,0,25,24
81,"=""14:57:59.205.114.740 086.020us""",82,11,FF,82,1,FF,60000,85,00 00,1.5445538216297414,1.5502365291400586,0,00 00 00 00,0,0,0,25,24
82,"=""14:59:00.069.075.780 086.060us""",83,11,FF,83,1,FF,60000,86,00 00,1.5445407086063276,1.5502907693732701,0,00 00 00 00,0,0,0,25,24
83,"=""15:00:00.932.397.600 086.060us""",84,11,FF,84,1,FF,60000,87,00 00,1.544567530699674,1.5502490461169536,0,00 00 00 00,0,0,0,25,24
84,"=""15:01:01.790.859.740 086.060us""",85,11,FF,85,1,FF,60000,88,00 00,1.5445353441876584,1.550257390768217,0,00 00 00 00,0,0,0,25,24
85,"=""15:02:02.657.329.160 086.040us""",86,11,FF,86,1,FF,60000,89,00 00,1.5445657425601176,1.5502526223960664,0,00 00 00 00,0,0,0,25,24
86,"=""15:03:03.526.895.260 086.040us""",87,11,FF,87,1,FF,60000,90,00 00,1.5445758753509373,1.5502901733267513,0,00 00 00 00,0,0,0,25,24
