Times,Time,CMD accept cnt.,last accept CMD,last error CMD,_hk_number_,reboot_cnt,mode_status,_sample_rate_,_sci_write_num_,_sci_time_,R1,R2,_seu_count_,_sci_read_num_,CMD err cnt.,RADFET err cnt.,WDT err cnt,SOM Tmp.,RADFET Tmp.
1,"=""23:04:58.676.039.700 086.020us""",63,10,00,4,2,FF,60000,3,00 93,10.000000596046519,1.5505786598418545,0,00 00 00 00,0,1,45,24,23
2,"=""23:05:28.123.523.620 086.260us""",93,10,00,5,2,FF,60000,3,00 93,10.000000596046519,1.5505786598418545,0,00 00 00 00,0,1,45,24,23
3,"=""23:05:57.570.802.100 086.200us""",123,10,00,6,2,FF,60000,4,00 CE,1.5449394637274103,1.5506245554238027,0,00 00 00 00,0,0,45,24,23
4,"=""23:06:27.016.531.020 086.220us""",153,10,00,7,2,FF,60000,4,00 CE,1.5449394637274103,1.5506245554238027,0,00 00 00 00,0,0,45,24,23
5,"=""23:06:56.462.035.660 086.240us""",183,10,00,8,2,FF,60000,5,01 09,1.5449644976812003,1.5506013096095692,0,00 00 00 00,0,0,45,24,23
6,"=""23:07:25.907.628.320 086.080us""",213,10,00,9,2,FF,60000,5,01 09,1.5449644976812003,1.5506013096095692,0,00 00 00 00,0,0,45,24,23
7,"=""23:07:55.356.570.800 086.060us""",243,10,00,10,2,FF,60000,6,01 45,1.5449138337271016,1.5506120384469078,0,00 00 00 00,0,0,45,24,23
8,"=""23:08:24.800.439.340 086.220us""",17,10,00,11,2,FF,60000,6,01 45,1.5449138337271016,1.5506120384469078,0,00 00 00 00,0,0,45,24,23
9,"=""23:08:54.245.437.620 086.200us (Mar-26-2024)""",47,10,00,12,2,FF,60000,7,01 80,1.5449168139596956,1.5505965412374187,0,00 00 00 00,0,0,45,24,23
10,"=""23:09:23.692.994.360 086.060us""",77,10,00,13,2,FF,60000,7,01 80,1.5449168139596956,1.5505965412374187,0,00 00 00 00,0,0,45,24,23
11,"=""23:09:53.147.134.340 086.080us""",107,10,00,14,2,FF,60000,8,01 BB,1.5449382716343727,1.550586408446599,0,00 00 00 00,0,0,45,24,23
12,"=""23:10:22.606.487.140 086.080us""",137,10,00,15,2,FF,60000,8,01 BB,1.5449382716343727,1.550586408446599,0,00 00 00 00,0,0,45,24,23
