Times,Time,CMD accept cnt.,last accept CMD,last error CMD,_hk_number_,reboot_cnt,mode_status,_sample_rate_,_sci_write_num_,_sci_time_,R1,R2,_seu_count_,_sci_read_num_,CMD err cnt.,RADFET err cnt.,WDT err cnt,SOM Tmp.,RADFET Tmp.
1,"=""14:18:29.227.134.340 086.000us""",33,10,87,412975844,110,FF,60000,2150088761,00 00,0.0,0.0,0,EA 60 C0 80,0,0,189,23,23
2,"=""14:18:58.968.838.740 085.940us""",64,10,87,412975845,110,FF,60000,2150088762,00 38,10.000000596046519,1.550695484959541,0,EA 60 C0 80,0,1,189,23,23
3,"=""14:19:28.715.702.920 086.000us""",95,10,87,412975846,110,FF,60000,2150088762,00 38,10.000000596046519,1.550695484959541,0,EA 60 C0 80,0,1,189,23,23
4,"=""14:19:58.461.159.240 086.000us""",126,10,87,412975847,110,FF,60000,2150088763,00 73,1.5449644976812003,1.550639456586773,0,EA 60 C0 80,0,0,189,23,23
5,"=""14:20:28.212.003.580 085.960us""",157,10,87,412975848,110,FF,60000,2150088763,00 73,1.5449644976812003,1.550639456586773,0,EA 60 C0 80,0,0,189,24,23
6,"=""14:20:57.965.463.620 086.000us""",188,10,87,412975849,110,FF,60000,2150088764,00 AE,1.5449424439600044,1.5506591261218936,0,EA 60 C0 80,0,0,189,24,23
7,"=""14:21:27.717.062.160 086.000us""",219,10,87,412975850,110,FF,60000,2150088764,00 AE,1.5449424439600044,1.5506591261218936,0,EA 60 C0 80,0,0,189,24,23
8,"=""14:21:57.471.688.600 085.980us""",250,10,87,412975851,110,FF,60000,2150088765,00 E9,1.5449037009362818,1.5506567419358184,0,EA 60 C0 80,0,0,189,24,23
9,"=""14:22:27.232.580.400 086.000us""",25,10,87,412975852,110,FF,60000,2150088765,00 E9,1.5449037009362818,1.5506567419358184,0,EA 60 C0 80,0,0,189,24,23
10,"=""14:22:56.996.131.280 086.020us""",56,10,87,412975853,110,FF,60000,2150088766,01 24,1.544931119076147,1.550620383098171,0,EA 60 C0 80,0,0,189,24,23
11,"=""14:23:26.761.110.480 086.020us""",87,10,87,412975854,110,FF,60000,2150088766,01 24,1.544931119076147,1.550620383098171,0,EA 60 C0 80,0,0,189,24,23
