"Time","TM.RADFET1_V3"
2025-01-16 08:00:00,218
2025-01-16 08:05:00,253
2025-01-16 08:10:00,233
2025-01-16 08:15:00,19
2025-01-16 08:20:00,223
2025-01-16 08:25:00,5
2025-01-16 08:30:00,218
2025-01-16 08:35:00,212
2025-01-16 08:40:00,33
2025-01-16 08:45:00,219
2025-01-16 08:50:00,212
2025-01-16 08:55:00,230
2025-01-16 09:00:00,211
2025-01-16 09:05:00,255
2025-01-16 09:10:00,193
2025-01-16 09:15:00,7
2025-01-16 09:20:00,191
2025-01-16 09:25:00,196
2025-01-16 09:30:00,226
2025-01-16 09:35:00,7
2025-01-16 09:40:00,255
2025-01-16 09:45:00,213
2025-01-16 09:50:00,205
2025-01-16 09:55:00,207
2025-01-16 10:00:00,198
2025-01-16 10:05:00,173
2025-01-16 10:10:00,234
2025-01-16 10:15:00,201
2025-01-16 10:20:00,146
2025-01-16 10:25:00,166
2025-01-16 10:30:00,208
2025-01-16 10:35:00,173
2025-01-16 10:40:00,220
2025-01-16 10:45:00,129
2025-01-16 10:50:00,0
2025-01-16 10:55:00,204
2025-01-16 11:00:00,174
2025-01-16 11:05:00,194
2025-01-16 11:10:00,138
2025-01-16 11:15:00,166
2025-01-16 11:20:00,169
2025-01-16 11:25:00,156
2025-01-16 11:30:00,121
2025-01-16 11:35:00,166
2025-01-16 11:40:00,161
2025-01-16 11:45:00,168
2025-01-16 11:50:00,122
2025-01-16 11:55:00,149
2025-01-16 12:00:00,143
2025-01-16 12:05:00,148
2025-01-16 12:10:00,166
2025-01-16 12:15:00,131
2025-01-16 12:20:00,83
2025-01-16 12:25:00,103
2025-01-16 12:30:00,128
2025-01-16 12:35:00,149
2025-01-16 12:40:00,103
2025-01-16 12:45:00,104
2025-01-16 12:50:00,121
2025-01-16 12:55:00,103
2025-01-16 13:00:00,105
2025-01-16 13:05:00,94
2025-01-16 13:10:00,84
2025-01-16 13:15:00,88
2025-01-16 13:20:00,88
2025-01-16 13:25:00,74
2025-01-16 13:30:00,104
2025-01-16 13:35:00,89
2025-01-16 13:40:00,100
2025-01-16 13:45:00,102
2025-01-16 13:50:00,106
2025-01-16 13:55:00,107
2025-01-16 14:00:00,107
2025-01-16 14:05:00,76
2025-01-16 14:10:00,105
2025-01-16 14:15:00,112
2025-01-16 14:20:00,100
2025-01-16 14:25:00,126
2025-01-16 14:30:00,0
2025-01-16 14:35:00,119
2025-01-16 14:40:00,100
2025-01-16 14:45:00,54
2025-01-16 14:50:00,81
2025-01-16 14:55:00,110
2025-01-16 15:00:00,57
2025-01-16 15:05:00,88
2025-01-16 15:10:00,86
2025-01-16 15:15:00,103
2025-01-16 15:20:00,0
2025-01-16 15:25:00,136
2025-01-16 15:30:00,106
2025-01-16 15:35:00,94
2025-01-16 15:40:00,97
2025-01-16 15:45:00,76
2025-01-16 15:50:00,126
2025-01-16 15:55:00,62
2025-01-16 16:00:00,92
2025-01-16 16:05:00,88
2025-01-16 16:10:00,84
2025-01-16 16:15:00,9
2025-01-16 16:20:00,92
2025-01-16 16:25:00,58
2025-01-16 16:30:00,44
2025-01-16 16:35:00,5
2025-01-16 16:40:00,61
2025-01-16 16:45:00,23
2025-01-16 16:50:00,0
2025-01-16 16:55:00,55
2025-01-16 17:00:00,105
2025-01-16 17:05:00,71
2025-01-16 17:10:00,43
2025-01-16 17:15:00,224
2025-01-16 17:20:00,26
2025-01-16 17:25:00,11
2025-01-16 17:30:00,58
2025-01-16 17:35:00,232
2025-01-16 17:40:00,26
2025-01-16 17:45:00,51
2025-01-16 17:50:00,
2025-01-16 17:55:00,
2025-01-16 18:00:00,
2025-01-16 18:05:00,
2025-01-16 18:10:00,
2025-01-16 18:15:00,
2025-01-16 18:20:00,
2025-01-16 18:25:00,
2025-01-16 18:30:00,
2025-01-16 18:35:00,
2025-01-16 18:40:00,
2025-01-16 18:45:00,
2025-01-16 18:50:00,
2025-01-16 18:55:00,
2025-01-16 19:00:00,
2025-01-16 19:05:00,
2025-01-16 19:10:00,
2025-01-16 19:15:00,
2025-01-16 19:20:00,
2025-01-16 19:25:00,
2025-01-16 19:30:00,
2025-01-16 19:35:00,
2025-01-16 19:40:00,
2025-01-16 19:45:00,
2025-01-16 19:50:00,
2025-01-16 19:55:00,
2025-01-16 20:00:00,
2025-01-16 20:05:00,
2025-01-16 20:10:00,
2025-01-16 20:15:00,
2025-01-16 20:20:00,
2025-01-16 20:25:00,
2025-01-16 20:30:00,
2025-01-16 20:35:00,
2025-01-16 20:40:00,
2025-01-16 20:45:00,
2025-01-16 20:50:00,
